ordem,name,tipo,excel,horizonte,receita,rot_id,input,nh,nit,Cic,faixaEntrada,faixaSaida,SERIE,CEL,evt_teste,evt_valida,n_linhas_workbook,n_invalidas_temporais,n_evento32_total,n_treino_previsto,n_validacao_prevista,n_teste_previsto,mat,mascara,seed,Prc,Mom,gate_eventos,source_workbook,source_sha256,feature_names,variant_label
1,001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,alt,001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01.xlsx,2,STZ_RECORTE_CONTROLE_15INPUTS,Q82_STZ_EARLY_RECESSION_CAP12,15,32,10,100000,H2:V624,W2:W624,Y2:Y624,Z2:Z624,31 34 37,35,623,35,0,468,28,127,mat/001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01.mat,mascaras/MASCARA_LINHAS_INTEGRAS_01.csv,82001,0.001,0.0,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01.xlsx,7dc658e6445be0f2aef899284b6129d754854b5e62d099be7eea8039c116090d,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000,CONTROLE_15INPUTS;EXATO_TMA_REBUILD_20260919
2,002_MUC_H02_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S02,alt,002_MUC_H02_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S02.xlsx,2,STZ_RECORTE_SEM_SANTA_TEREZA,Q82_STZ_EARLY_RECESSION_CAP12,9,48,10,100000,H2:P624,Q2:Q624,S2:S624,T2:T624,31 34 37,35,623,35,0,468,28,127,mat/002_MUC_H02_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S02.mat,mascaras/MASCARA_LINHAS_INTEGRAS_02.csv,82002,0.0005,0.0,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\002_MUC_H02_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S02.xlsx,87754053c306c74642782c5c351c172329e722b0dc22f47ac5fe54c4171e6e9c,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000,SEM_SANTA_TEREZA;EXATO_TMA_REBUILD_20260919
3,003_MUC_H02_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S03,alt,003_MUC_H02_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S03.xlsx,2,STZ_RECORTE_NIVEIS_DIFERENCAS,Q82_STZ_EARLY_RECESSION_CAP12,8,56,10,100000,H2:O624,P2:P624,R2:R624,S2:S624,31 34 37,35,623,35,0,468,28,127,mat/003_MUC_H02_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S03.mat,mascaras/MASCARA_LINHAS_INTEGRAS_03.csv,82003,0.0015,0.3,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\003_MUC_H02_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S03.xlsx,16cd4744f91f792f1d2af167637b47a02f324ab6adeb023eb21346d6459a63e8,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000,NIVEIS_DIFERENCAS;EXATO_TMA_REBUILD_20260919
4,004_MUC_H02_STZ_RECORTE_DINAMICA_CURTA_NH64_S04,alt,004_MUC_H02_STZ_RECORTE_DINAMICA_CURTA_NH64_S04.xlsx,2,STZ_RECORTE_DINAMICA_CURTA,Q82_STZ_EARLY_RECESSION_CAP12,11,64,10,100000,H2:R624,S2:S624,U2:U624,V2:V624,31 34 37,35,623,35,0,468,28,127,mat/004_MUC_H02_STZ_RECORTE_DINAMICA_CURTA_NH64_S04.mat,mascaras/MASCARA_LINHAS_INTEGRAS_04.csv,82004,0.002,0.6,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\004_MUC_H02_STZ_RECORTE_DINAMICA_CURTA_NH64_S04.xlsx,58988f63e4027520ef8c8bb85079850aec620f6694eeacc3c6cbb64f3c86b8cd,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000,DINAMICA_CURTA;EXATO_TMA_REBUILD_20260919
5,005_MUC_H02_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S05,alt,005_MUC_H02_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S05.xlsx,2,STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ,Q82_STZ_EARLY_RECESSION_CAP12,13,72,10,100000,H2:T624,U2:U624,W2:W624,X2:X624,31 34 37,35,623,35,0,468,28,127,mat/005_MUC_H02_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S05.mat,mascaras/MASCARA_LINHAS_INTEGRAS_05.csv,82005,0.0008,0.3,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\005_MUC_H02_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S05.xlsx,8440c2f7322685c3df055d52d218313f44486c90059e284268045619079ffd05,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000,NIVEL_DINAMICA_CURTA_STZ;EXATO_TMA_REBUILD_20260919
6,006_MUC_H04_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S06,alt,006_MUC_H04_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S06.xlsx,4,STZ_RECORTE_CONTROLE_15INPUTS,Q82_STZ_EARLY_RECESSION_CAP12,15,32,10,100000,H2:V628,W2:W628,Y2:Y628,Z2:Z628,31 34 37,35,627,69,0,482,24,121,mat/006_MUC_H04_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S06.mat,mascaras/MASCARA_LINHAS_INTEGRAS_06.csv,82006,0.001,0.0,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\006_MUC_H04_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S06.xlsx,12fd3fd0ae7548de39e9b143c9686d679bfa32481e97f73ee88d3f0fd93f3c69,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000,CONTROLE_15INPUTS;EXATO_TMA_REBUILD_20260919
7,007_MUC_H04_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S07,alt,007_MUC_H04_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S07.xlsx,4,STZ_RECORTE_SEM_SANTA_TEREZA,Q82_STZ_EARLY_RECESSION_CAP12,9,48,10,100000,H2:P628,Q2:Q628,S2:S628,T2:T628,31 34 37,35,627,69,0,482,24,121,mat/007_MUC_H04_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S07.mat,mascaras/MASCARA_LINHAS_INTEGRAS_07.csv,82007,0.0005,0.0,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\007_MUC_H04_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S07.xlsx,682297011831116be2c4e2516a91ecc9a2c0a68d8a25d061dd7942709dc507d5,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000,SEM_SANTA_TEREZA;EXATO_TMA_REBUILD_20260919
8,008_MUC_H04_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S08,alt,008_MUC_H04_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S08.xlsx,4,STZ_RECORTE_NIVEIS_DIFERENCAS,Q82_STZ_EARLY_RECESSION_CAP12,8,56,10,100000,H2:O628,P2:P628,R2:R628,S2:S628,31 34 37,35,627,69,0,482,24,121,mat/008_MUC_H04_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S08.mat,mascaras/MASCARA_LINHAS_INTEGRAS_08.csv,82008,0.0015,0.3,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\008_MUC_H04_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S08.xlsx,7b66d3f38faf8eadfe10994e036872ed14182793f1479318ec616a08c0d8421c,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000,NIVEIS_DIFERENCAS;EXATO_TMA_REBUILD_20260919
9,009_MUC_H04_STZ_RECORTE_DINAMICA_CURTA_NH64_S09,alt,009_MUC_H04_STZ_RECORTE_DINAMICA_CURTA_NH64_S09.xlsx,4,STZ_RECORTE_DINAMICA_CURTA,Q82_STZ_EARLY_RECESSION_CAP12,11,64,10,100000,H2:R628,S2:S628,U2:U628,V2:V628,31 34 37,35,627,69,0,482,24,121,mat/009_MUC_H04_STZ_RECORTE_DINAMICA_CURTA_NH64_S09.mat,mascaras/MASCARA_LINHAS_INTEGRAS_09.csv,82009,0.002,0.6,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\009_MUC_H04_STZ_RECORTE_DINAMICA_CURTA_NH64_S09.xlsx,bacf9ccd5d0d8b76085e29df8852e8e6a4561b6fcb58c5d0043b7de75cf87074,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000,DINAMICA_CURTA;EXATO_TMA_REBUILD_20260919
10,010_MUC_H04_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S10,alt,010_MUC_H04_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S10.xlsx,4,STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ,Q82_STZ_EARLY_RECESSION_CAP12,13,72,10,100000,H2:T628,U2:U628,W2:W628,X2:X628,31 34 37,35,627,69,0,482,24,121,mat/010_MUC_H04_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S10.mat,mascaras/MASCARA_LINHAS_INTEGRAS_10.csv,82010,0.0008,0.3,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\010_MUC_H04_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S10.xlsx,325a63cfaab3943ec72a5d3d378c5d6b6367535f88fbb643e88eff39d48903b1,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000,NIVEL_DINAMICA_CURTA_STZ;EXATO_TMA_REBUILD_20260919
11,011_MUC_H08_STZ_RECORTE_CONTROLE_28INPUTS_NH32_S11,alt,011_MUC_H08_STZ_RECORTE_CONTROLE_28INPUTS_NH32_S11.xlsx,8,STZ_RECORTE_CONTROLE_28INPUTS,Q82_STZ_EARLY_RECESSION_CAP12,28,32,10,100000,H2:AI221,AJ2:AJ221,AL2:AL221,AM2:AM221,37,23,220,71,0,156,18,46,mat/011_MUC_H08_STZ_RECORTE_CONTROLE_28INPUTS_NH32_S11.mat,mascaras/MASCARA_LINHAS_INTEGRAS_11.csv,82011,0.001,0.0,STZ_rise_to_peak_plus_early_recession_cap12;min18;peak_minus5;rise20;gap_lt24h;exact_t_plus_H_same_event;target_exact_t_plus_H_same_event_enforced_in_source_rebuild,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\82_FILA_MATLAB_MUCUM_EVENTOS_INTEIROS_PERS_EVENTO_20260913\planilhas\011_MUC_H08_STZ_RECORTE_CONTROLE_28INPUTS_NH32_S11.xlsx,c7ae8b992fd8b9c5a77c168e5216ce8ebd5a5e74b33cdbc96a80a46ef1a844f5,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000|nivel_86298000|difn2h_86298000|difn4h_86298000|acel12h_86298000|acel20h_86298000|difn8h_86510000|acel20h_86510000|difn8h_86472000|acel4h_86472000|chuva_med_4est_acum_18h|chuva_med_4est_acum_24h|chuva_med_4est_acum_48h|chuva_dif_0_24_menos_24_48h,CONTROLE_28INPUTS;EXATO_TMA_REBUILD_20260919
